"","mos_since_start","mos_since_last_ck","exhaust_approx","n","cons_ub_adj","inc_adj","income_ub_adj","cons_adj","labor_broad_adj","inflow_paper_ck","mos_unemp","unemp","cons","cons_base_start_tmp","inc_base_start_tmp","cons_base_exhaust_tmp","inc_base_exhaust_tmp","cons_base_exhaust_immed_tmp","inc_base_exhaust_immed_tmp","labor_base_start_tmp","labor_base_exhaust_immed_tmp","d_cons_start","d_inc_start","d_cons_exhaust","d_inc_exhaust","d_cons_exhaust_immed","d_inc_exhaust_immed","labor_base_start","labor_base_exhaust_immed","d_cons_start_ex_wr"
"31",-25,-27,FALSE,3082,4364.8848173636,3433.06401975061,4716.67129091466,2528.18117104631,2805.14441425135,969.743620376379,3.10123296560675,0,3317.05737085056,NA,NA,NA,NA,NA,NA,NA,NA,-330.393118209439,-306.236249439017,NA,NA,NA,NA,-251.557785005702,NA,-330.393118209439
"32",-25,-26,FALSE,5465,4561.97606574046,3571.44387937469,4803.02199410306,2670.51212850268,2887.12691756269,977.224842451967,2.1032021957914,0,3480.08598412571,NA,NA,NA,NA,NA,NA,NA,NA,-294.766432035761,-263.646005660337,NA,NA,NA,NA,-289.979538331996,NA,-294.766432035761
"33",-25,-25,FALSE,2491,4510.30527841406,3494.31942375379,4960.7485841012,2661.79201707255,2812.04026399034,1047.54280610197,1.36852669610598,0,3425.7588473287,NA,NA,NA,NA,NA,NA,NA,NA,-164.069421863548,-50.7425542869777,NA,NA,NA,NA,-70.740217825111,NA,-164.069421863548
"34",-25,-24,FALSE,317,4766.52079801077,3822.032641609,5211.34660023422,2641.11773340588,2989.2959072559,1205.84480757098,2,0,3589.88135300518,NA,NA,NA,NA,NA,NA,NA,NA,23.7996242141489,279.645257851001,NA,NA,NA,NA,377.548370185204,NA,23.7996242141489
"35",-24,-30,FALSE,18,4423.35429346528,3360.51858916963,3618.25835981468,2521.84551452198,2850.81204830126,559.140555555556,7,0,3119.24564870101,NA,NA,NA,NA,NA,NA,NA,NA,-616.19186102174,-266.979179747992,NA,NA,NA,NA,145.26305386365,NA,-616.19186102174
"36",-24,-30,TRUE,940,4545.2088587135,3626.91609271573,4917.79596974376,2569.78056239432,2990.95900622088,919.63934893617,7,0,3311.00039692796,NA,NA,NA,NA,NA,NA,NA,NA,-493.155543645854,-178.26561000804,-49.6825691001695,816.028614484535,-22.2447390570855,630.797525212157,-178.658624623348,2212.0372492908,-493.155543645854
"37",-24,-29,FALSE,517,4348.64648019732,3462.35636933967,4448.60194940275,2524.66884565372,2760.06920324044,983.175098646035,6,0,3254.86736116867,NA,NA,NA,NA,NA,NA,NA,NA,-491.487296117643,-151.267841085715,NA,NA,NA,NA,-213.540749085073,NA,-491.487296117643
"38",-24,-29,TRUE,971,4429.44304291848,3507.07166301813,4516.27359932159,2617.2670067116,2889.68948057627,972.647905252317,6.03913491246138,0,3355.56930703467,NA,NA,NA,NA,NA,NA,NA,NA,-293.931433533082,-152.339496169128,73.8071624553851,659.503990963595,56.5422964603947,470.723110621488,-166.091955773264,1970.54909457039,-293.931433533082
"39",-24,-28,FALSE,1277,4319.14372237538,3312.79729109686,4485.38378280994,2549.36188035055,2707.38832392465,1037.69721691464,5.02192638997651,0,3323.65349063331,NA,NA,NA,NA,NA,NA,NA,NA,-288.433175447955,-292.704905835603,NA,NA,NA,NA,-237.997075563966,NA,-288.433175447955
"40",-24,-28,TRUE,846,4043.45742136389,3053.8467510335,4063.74380725985,2397.21584802063,2459.79449135091,964.82768321513,5.40425531914894,0,3013.48912048932,NA,NA,NA,NA,NA,NA,NA,NA,-333.5967359455,-268.397114849724,190.89922770817,602.95396729625,6.65257968609474,419.049565378691,-156.049088872756,1642.9297146263,-333.5967359455
"41",-24,-27,FALSE,2455,4323.83343301167,3359.4539791477,4509.320456768,2519.20550973281,2661.44660342627,977.604705498981,4.10183299389002,0,3257.89890737681,NA,NA,NA,NA,NA,NA,NA,NA,-357.99944051194,-295.300468376244,NA,NA,NA,NA,-293.5074871097,NA,-357.99944051194
"42",-24,-27,TRUE,402,3854.09150597112,3112.20293827101,4767.0492095816,2270.07041795355,2459.85610244673,935.868711442786,4.03980099502488,0,2880.51454601809,NA,NA,NA,NA,NA,NA,NA,NA,-358.434514306902,-139.381983648883,189.107700556808,737.211853099212,-7.68843821874128,489.253346642675,-132.471449063776,1729.02063502213,-358.434514306902
"43",-24,-26,FALSE,3776,4448.66689544219,3504.60490826867,4685.83618605159,2550.77098108735,2843.51348601673,955.726601165254,3.10222457627119,0,3365.829396104,NA,NA,NA,NA,NA,NA,NA,NA,-324.181883160579,-265.778041555748,NA,NA,NA,NA,-254.92959202177,NA,-324.181883160579
"44",-24,-25,FALSE,6352,4554.53417323456,3626.0078880492,4911.40094195175,2694.53456348595,2935.54560553892,984.557867128463,2.10358942065491,0,3505.33086647026,NA,NA,NA,NA,NA,NA,NA,NA,-282.986798763649,-224.235139165095,NA,NA,NA,NA,-255.069473992378,NA,-282.986798763649
"45",-24,-24,FALSE,2936,4456.65795228511,3463.82576750789,4623.96356162883,2668.52077958543,2810.21050121349,985.223551771117,1.36852861035422,0,3465.76680059227,NA,NA,NA,NA,NA,NA,NA,NA,-138.072530932186,-78.508165040911,NA,NA,NA,NA,-78.2597674616897,NA,-138.072530932186
